#,Company,Symbol,Weight,Price,Chg,% Chg
252,Fair Isaac,FICO,0.07%,1541.62,16.33,(1.07%)
253,Cognizant,CTSH,0.07%,75.68,0.12,(0.16%)
254,Targa Resources,TRGP,0.07%,171.11,4.63,(2.78%)
255,Delta Air Lines,DAL,0.07%,56.29,-0.05,(-0.09%)
256,Prudential Financial,PRU,0.06%,103.27,0.14,(0.14%)
257,Consolidated Edison,ED,0.06%,101.08,0.48,(0.48%)
258,Wabtec,WAB,0.06%,211.91,-0.79,(-0.37%)
259,eBay,EBAY,0.06%,78.14,1.35,(1.76%)
260,CoStar Group,CSGP,0.06%,84.70,-0.25,(-0.29%)
261,EQT Corporation,EQT,0.06%,59.19,0.44,(0.75%)
262,Vulcan Materials Company,VMC,0.06%,266.60,3.59,(1.36%)
263,Hartford (The),HIG,0.06%,122.86,0.53,(0.43%)
264,Live Nation Entertainment,LYV,0.06%,150.49,-0.23,(-0.15%)
265,GE HealthCare,GEHC,0.06%,75.96,-0.28,(-0.37%)
266,Vici Properties,VICI,0.06%,32.90,0.06,(0.18%)
267,Monolithic Power Systems,MPWR,0.06%,725.24,11.67,(1.64%)
268,Hershey Company (The),HSY,0.06%,171.29,0.06,(0.04%)
269,Ingersoll Rand,IR,0.06%,85.55,-2.20,(-2.51%)
270,WEC Energy Group,WEC,0.06%,107.82,1.62,(1.53%)
271,Las Vegas Sands,LVS,0.06%,48.67,-0.26,(-0.53%)
272,Old Dominion,ODFL,0.06%,162.09,-0.14,(-0.09%)
273,Brown & Brown,BRO,0.06%,103.84,-0.29,(-0.28%)
274,Martin Marietta Materials,MLM,0.06%,565.03,11.94,(2.16%)
275,Arch Capital Group,ACGL,0.06%,88.35,-0.31,(-0.35%)
276,Kraft Heinz,KHC,0.06%,27.82,-0.31,(-1.10%)
277,Dexcom,DXCM,0.06%,83.89,-0.21,(-0.25%)
278,Equifax,EFX,0.06%,263.09,1.67,(0.64%)
279,Nucor,NUE,0.06%,140.63,-0.12,(-0.09%)
280,Raymond James Financial,RJF,0.06%,160.66,1.18,(0.74%)
281,Agilent Technologies,A,0.06%,113.99,-2.37,(-2.04%)
282,Xylem Inc.,XYL,0.06%,132.71,0.25,(0.19%)
283,Seagate Technology,STX,0.06%,149.08,2.35,(1.61%)
284,DuPont,DD,0.06%,75.55,1.10,(1.48%)
285,Warner Bros. Discovery,WBD,0.06%,12.75,-0.09,(-0.70%)
286,Extra Space Storage,EXR,0.06%,148.11,0.84,(0.57%)
287,Estée Lauder Companies (The),EL,0.06%,87.21,0.65,(0.75%)
288,State Street Corporation,STT,0.05%,108.51,1.03,(0.96%)
289,Supermicro,SMCI,0.05%,51.77,-0.98,(-1.86%)
290,M&T Bank,MTB,0.05%,196.19,0.59,(0.30%)
291,Willis Towers Watson,WTW,0.05%,308.28,1.59,(0.52%)
292,United Airlines Holdings,UAL,0.05%,92.25,1.03,(1.13%)
293,Constellation Brands,STZ,0.05%,170.57,-0.95,(-0.55%)
294,Tractor Supply,TSCO,0.05%,56.58,-0.25,(-0.44%)
295,Ventas,VTR,0.05%,65.80,0.43,(0.66%)
296,NRG Energy,NRG,0.05%,151.75,4.37,(2.97%)
297,PG&E Corporation,PCG,0.05%,13.45,0.19,(1.43%)
298,Iron Mountain,IRM,0.05%,99.67,0.98,(0.99%)
299,AvalonBay Communities,AVB,0.05%,202.63,0.50,(0.25%)
300,Fifth Third Bancorp,FITB,0.05%,43.03,0.42,(0.99%)
301,DTE Energy,DTE,0.05%,137.26,2.53,(1.88%)
302,Lennar,LEN,0.05%,109.57,-0.13,(-0.12%)
303,Broadridge Financial Solutions,BR,0.05%,239.11,1.92,(0.81%)
304,Keysight Technologies,KEYS,0.05%,162.45,-0.61,(-0.37%)
305,American Water Works,AWK,0.05%,142.91,0.70,(0.49%)
306,IQVIA,IQV,0.05%,160.63,-2.62,(-1.60%)
307,Kellanova,K,0.05%,79.92,-0.06,(-0.08%)
308,Hewlett Packard Enterprise,HPE,0.05%,21.11,0.28,(1.34%)
309,Lululemon Athletica,LULU,0.05%,229.77,-3.54,(-1.52%)
310,Gartner,IT,0.05%,355.40,-6.01,(-1.66%)
311,General Mills,GIS,0.05%,50.10,-0.19,(-0.38%)
312,Rollins Inc.,ROL,0.05%,55.80,0.03,(0.05%)
313,Ameren,AEE,0.05%,98.70,1.42,(1.46%)
314,Synchrony Financial,SYF,0.05%,70.04,-0.15,(-0.21%)
315,Verisign,VRSN,0.05%,283.43,2.57,(0.92%)
316,Humana,HUM,0.05%,220.41,-3.14,(-1.40%)
317,PPL Corporation,PPL,0.05%,35.98,0.37,(1.04%)
318,International Paper,IP,0.05%,50.35,-0.56,(-1.10%)
319,Teledyne Technologies,TDY,0.05%,563.66,4.66,(0.83%)
320,Archer Daniels Midland,ADM,0.05%,54.39,0.85,(1.59%)
321,W. R. Berkley Corporation,WRB,0.05%,68.75,0.62,(0.91%)
322,PPG Industries,PPG,0.05%,114.53,-1.49,(-1.28%)
323,Expand Energy,EXE,0.05%,108.64,0.49,(0.45%)
324,Dover Corporation,DOV,0.05%,188.24,-2.35,(-1.23%)
325,Veralto,VLTO,0.05%,103.34,0.36,(0.35%)
326,Equity Residential,EQR,0.05%,67.17,-0.11,(-0.16%)
327,ON Semiconductor,ON,0.04%,60.72,1.31,(2.21%)
328,SBA Communications,SBAC,0.04%,233.90,1.04,(0.45%)
329,Cboe Global Markets,CBOE,0.04%,238.62,0.78,(0.33%)
330,Northern Trust,NTRS,0.04%,127.93,0.87,(0.68%)
331,Atmos Energy,ATO,0.04%,156.66,1.39,(0.90%)
332,Mettler Toledo,MTD,0.04%,1194.85,-10.83,(-0.90%)
333,Darden Restaurants,DRI,0.04%,209.54,2.41,(1.16%)
334,Huntington Bancshares,HBAN,0.04%,16.71,-0.27,(-1.59%)
335,Tyler Technologies,TYL,0.04%,564.36,3.10,(0.55%)
336,CenterPoint Energy,CNP,0.04%,37.24,0.74,(2.03%)
337,Dollar General,DG,0.04%,110.09,0.86,(0.79%)
338,GoDaddy,GDDY,0.04%,168.72,0.43,(0.26%)
339,Jabil,JBL,0.04%,223.98,1.75,(0.79%)
340,Eversource Energy,ES,0.04%,65.41,0.57,(0.88%)
341,PTC Inc.,PTC,0.04%,199.61,2.61,(1.32%)
342,Church & Dwight,CHD,0.04%,96.60,-0.43,(-0.44%)
343,Western Digital,WDC,0.04%,68.00,0.98,(1.46%)
344,CDW,CDW,0.04%,179.59,-0.40,(-0.22%)
345,Cincinnati Financial,CINF,0.04%,150.73,1.70,(1.14%)
346,HP Inc.,HPQ,0.04%,25.06,0.31,(1.25%)
347,FirstEnergy,FE,0.04%,40.78,0.23,(0.57%)
348,Expedia Group,EXPE,0.04%,184.93,2.85,(1.57%)
349,Smurfit WestRock,SW,0.04%,44.86,-1.22,(-2.65%)
350,Corpay,CPAY,0.04%,332.02,-3.08,(-0.92%)
351,Regions Financial Corporation,RF,0.04%,26.01,1.50,(6.12%)
352,T. Rowe Price,TROW,0.04%,105.77,-0.64,(-0.60%)
353,Dollar Tree,DLTR,0.04%,110.12,1.97,(1.82%)
354,Hubbell Incorporated,HUBB,0.04%,430.28,-6.95,(-1.59%)
355,Texas Pacific Land Corporation,TPL,0.04%,997.11,4.89,(0.49%)
356,Steris,STE,0.04%,225.58,0.99,(0.44%)
357,Ulta Beauty,ULTA,0.04%,493.30,3.23,(0.66%)
358,Amcor,AMCR,0.04%,9.54,0.03,(0.32%)
359,PulteGroup,PHM,0.04%,108.66,-0.62,(-0.57%)
360,NetApp,NTAP,0.04%,108.37,1.12,(1.04%)
361,NVR Inc.,NVR,0.04%,7422.83,-15.42,(-0.21%)
362,Lennox International,LII,0.04%,609.43,-2.42,(-0.40%)
363,CMS Energy,CMS,0.04%,71.92,1.07,(1.51%)
364,Tapestry Inc.,TPR,0.04%,103.42,1.26,(1.23%)
365,Devon Energy,DVN,0.04%,32.85,0.07,(0.21%)
366,Citizens Financial Group,CFG,0.04%,48.58,-0.24,(-0.49%)
367,Williams-Sonoma,WSM,0.04%,170.39,0.19,(0.11%)
368,Leidos,LDOS,0.04%,162.54,-0.17,(-0.10%)
369,Southwest Airlines,LUV,0.04%,36.51,0.04,(0.11%)
370,LabCorp,LH,0.04%,243.72,-3.52,(-1.42%)
371,LyondellBasell,LYB,0.04%,63.21,-0.09,(-0.14%)
372,KeyCorp,KEY,0.04%,18.50,0.13,(0.71%)
373,Dow Inc.,DOW,0.04%,28.34,-0.12,(-0.42%)
374,Insulet Corporation,PODD,0.04%,284.23,0.78,(0.28%)
375,Global Payments,GPN,0.04%,81.93,-1.11,(-1.34%)
376,Invitation Homes,INVH,0.03%,32.24,-0.02,(-0.06%)
377,Edison International,EIX,0.03%,51.14,-0.19,(-0.37%)
378,Trimble Inc.,TRMB,0.03%,82.04,0.02,(0.02%)
379,Steel Dynamics,STLD,0.03%,131.63,0.48,(0.37%)
380,International Flavors & Fragrances,IFF,0.03%,76.00,0.97,(1.29%)
381,Loews Corporation,L,0.03%,92.38,0.20,(0.22%)
382,NiSource,NI,0.03%,40.90,0.68,(1.69%)
383,McCormick & Company,MKC,0.03%,71.42,-0.30,(-0.42%)
384,Tyson Foods,TSN,0.03%,53.41,-0.57,(-1.06%)
385,First Solar,FSLR,0.03%,175.85,2.31,(1.33%)
386,Gen Digital,GEN,0.03%,30.27,0.13,(0.43%)
387,Quest Diagnostics,DGX,0.03%,166.91,-1.27,(-0.76%)
388,Coterra,CTRA,0.03%,24.39,-0.06,(-0.25%)
389,Essex Property Trust,ESS,0.03%,287.37,0.35,(0.12%)
390,Erie Indemnity,ERIE,0.03%,353.32,-0.85,(-0.24%)
391,Zimmer Biomet,ZBH,0.03%,93.19,-1.71,(-1.80%)
392,Weyerhaeuser,WY,0.03%,25.31,-0.37,(-1.44%)
393,Biogen,BIIB,0.03%,124.99,-3.70,(-2.88%)
394,Halliburton,HAL,0.03%,21.22,-0.32,(-1.49%)
395,Principal Financial Group,PFG,0.03%,81.06,0.09,(0.11%)
396,Packaging Corporation of America,PKG,0.03%,199.81,-2.43,(-1.20%)
397,Mid-America Apartment Communities,MAA,0.03%,150.77,0.11,(0.07%)
398,Snap-on,SNA,0.03%,336.71,-1.09,(-0.32%)
399,Ralph Lauren Corporation,RL,0.03%,289.49,3.23,(1.13%)
400,Pentair,PNR,0.03%,106.07,-0.63,(-0.59%)
401,F5 Inc.,FFIV,0.03%,302.17,1.83,(0.61%)
402,Fortive,FTV,0.03%,50.53,-0.74,(-1.44%)
403,Waters Corporation,WAT,0.03%,287.53,-9.39,(-3.16%)
404,Genuine Parts Company,GPC,0.03%,122.91,-0.62,(-0.50%)
405,Zebra Technologies,ZBRA,0.03%,331.73,1.83,(0.55%)
406,Jacobs Solutions,J,0.03%,138.67,-0.63,(-0.45%)
407,Alliant Energy,LNT,0.03%,64.13,0.91,(1.44%)
408,FactSet,FDS,0.03%,432.32,-4.25,(-0.97%)
409,Ball Corporation,BALL,0.03%,57.85,-0.22,(-0.38%)
410,Hormel Foods,HRL,0.03%,29.14,-0.54,(-1.82%)
411,Domino's,DPZ,0.03%,465.95,-2.75,(-0.59%)
412,Evergy,EVRG,0.03%,68.90,1.06,(1.56%)
413,Clorox,CLX,0.03%,128.37,-0.89,(-0.69%)
414,Textron,TXT,0.03%,85.00,-0.36,(-0.42%)
415,Expeditors International,EXPD,0.03%,111.67,-2.25,(-1.98%)
416,Deckers Brands,DECK,0.03%,101.91,0.69,(0.68%)
417,West Pharmaceutical Services,WST,0.03%,210.89,-10.70,(-4.83%)
418,Teradyne,TER,0.03%,93.92,1.12,(1.21%)
419,CF Industries,CF,0.03%,92.63,0.84,(0.92%)
420,Bunge Global,BG,0.03%,74.42,1.26,(1.72%)
421,Aptiv,APTV,0.03%,68.20,-2.07,(-2.95%)
422,Kimco Realty,KIM,0.03%,21.67,0.01,(0.05%)
423,Cooper Companies (The),COO,0.03%,72.63,-0.63,(-0.86%)
424,J.B. Hunt,JBHT,0.03%,148.89,-3.80,(-2.49%)
425,Best Buy,BBY,0.03%,67.55,-0.12,(-0.18%)
426,Hologic,HOLX,0.03%,63.99,-0.03,(-0.05%)
427,Baxter International,BAX,0.03%,27.77,-0.12,(-0.43%)
428,Everest Group,EG,0.03%,333.07,-0.93,(-0.28%)
429,Avery Dennison,AVY,0.02%,178.60,-2.20,(-1.22%)
430,TKO Group Holdings,TKO,0.02%,170.79,1.44,(0.85%)
431,Centene Corporation,CNC,0.02%,27.95,-1.19,(-4.08%)
432,IDEX Corporation,IEX,0.02%,183.38,-0.58,(-0.32%)
433,Masco,MAS,0.02%,65.56,-0.32,(-0.49%)
434,Align Technology,ALGN,0.02%,190.77,-1.50,(-0.78%)
435,Omnicom Group,OMC,0.02%,71.06,0.20,(0.28%)
436,Brown–Forman,BF.B,0.02%,28.92,-0.12,(-0.41%)
437,Builders FirstSource,BLDR,0.02%,123.15,-3.70,(-2.92%)
438,Alexandria Real Estate Equities,ARE,0.02%,78.17,-0.72,(-0.91%)
439,UDR Inc.,UDR,0.02%,40.73,0.09,(0.22%)
440,Allegion,ALLE,0.02%,152.82,-0.71,(-0.46%)
441,Incyte,INCY,0.02%,67.86,-1.08,(-1.57%)
442,Jack Henry & Associates,JKHY,0.02%,178.64,-0.45,(-0.25%)
443,Franklin Resources,BEN,0.02%,24.60,0.08,(0.33%)
444,Paycom,PAYC,0.02%,229.71,4.99,(2.22%)
445,Healthpeak Properties,DOC,0.02%,18.32,-0.04,(-0.22%)
446,Regency Centers,REG,0.02%,69.87,-0.03,(-0.04%)
447,Solventum,SOLV,0.02%,73.28,-0.58,(-0.79%)
448,Nordson Corporation,NDSN,0.02%,217.07,-0.40,(-0.18%)
449,Fox Corporation (Class B),FOX,0.02%,51.68,-0.08,(-0.15%)
450,Camden Property Trust,CPT,0.02%,113.93,-0.22,(-0.19%)
451,Moderna,MRNA,0.02%,31.26,-0.94,(-2.92%)
452,Fox Corporation (Class A),FOXA,0.02%,56.25,-0.14,(-0.25%)
453,C.H. Robinson,CHRW,0.02%,97.48,-1.05,(-1.07%)
454,Mosaic Company (The),MOS,0.02%,36.24,0.97,(2.75%)
455,J.M. Smucker Company (The),SJM,0.02%,106.16,-2.74,(-2.52%)
456,News Corp (Class A),NWSA,0.02%,29.86,-0.31,(-1.03%)
457,Pool Corporation,POOL,0.02%,298.86,0.05,(0.02%)
458,Akamai Technologies,AKAM,0.02%,78.69,0.76,(0.98%)
459,Host Hotels & Resorts,HST,0.02%,16.14,0.08,(0.50%)
460,Wynn Resorts,WYNN,0.02%,106.77,-2.67,(-2.44%)
461,Pinnacle West,PNW,0.02%,92.51,0.96,(1.05%)
462,Revvity,RVTY,0.02%,93.26,-2.32,(-2.43%)
463,Skyworks Solutions,SWKS,0.02%,72.77,0.56,(0.78%)
464,BXP Inc.,BXP,0.02%,68.95,-0.08,(-0.12%)
465,Hasbro,HAS,0.02%,77.81,0.62,(0.80%)
466,Universal Health Services,UHS,0.02%,168.94,-1.88,(-1.10%)
467,Stanley Black & Decker,SWK,0.02%,70.11,-0.71,(-1.00%)
468,DaVita,DVA,0.02%,141.16,-2.22,(-1.55%)
469,Norwegian Cruise Line Holdings,NCLH,0.02%,23.59,-0.01,(-0.04%)
470,Viatris,VTRS,0.02%,8.88,-0.39,(-4.21%)
471,MGM Resorts,MGM,0.02%,37.19,-0.38,(-1.01%)
472,Molson Coors Beverage Company,TAP,0.02%,50.06,-0.28,(-0.56%)
473,Globe Life,GL,0.02%,122.09,0.49,(0.40%)
474,A. O. Smith,AOS,0.02%,70.30,-0.45,(-0.64%)
475,Huntington Ingalls Industries,HII,0.02%,254.49,-0.86,(-0.34%)
476,Walgreens Boots Alliance,WBA,0.02%,11.49,-0.02,(-0.17%)
477,Molina Healthcare,MOH,0.02%,182.98,-21.27,(-10.41%)
478,LKQ Corporation,LKQ,0.02%,37.12,-0.33,(-0.88%)
479,Assurant,AIZ,0.02%,188.07,-0.01,(-0.01%)
480,AES Corporation,AES,0.02%,13.37,0.18,(1.36%)
481,CarMax,KMX,0.02%,62.62,0.34,(0.55%)
482,EPAM Systems,EPAM,0.02%,164.70,0.22,(0.13%)
483,Dayforce,DAY,0.02%,58.25,0.62,(1.08%)
484,Campbell Soup Company,CPB,0.02%,30.98,-0.32,(-1.02%)
